vendor,legal_name,entities,category,federal_tax_classification,tax_address_on_file,contacts,active,spend_all_time,spend_365d,ramp_vendor_uuids
NEW MARINE CONSOLIDATOR INC - NYC,,TN,"Freight, Moving and Delivery Services",,,1,yes,11953.69,11953.69,a541b9b4-2968-4f56-b494-2f87e92261e9
eBay,,FL|TN,General Merchandise,,,2,yes,11667.27,11667.27,89e123df-cae4-457d-bd3a-e200761869c0|88dd0fd4-6e37-4b16-8804-8dd1463f216f
Chick-Fil-A,,FL|TN|TX,Restaurants,,,0,yes,10892.10,10892.10,d0c8e1f9-8417-4765-9b10-2df370f813a4|1428e8a9-0150-40b4-ae86-e75aed1dac6a|21a1abee-e005-4bd4-b35d-ee5d4489d739
US Plastics,UNITED STATES PLASTIC CORP,FL,Charitable donations,C_CORPORATION,YES,1,yes,10651.59,10651.59,e357c656-a35a-443b-a7c0-5c86439ce1c6
Univar- ACH,,FL,General Merchandise,,,1,yes,10271.47,10271.47,3fccb44a-9e50-4a12-8b1c-27477feaaf72
FIRST in Texas,,FL|TX,Charitable donations,,,0,yes,10000.00,10000.00,4c33c6ee-4443-46f6-88cd-ba14dee07246|794f9685-e129-4413-be34-ed7534593ca2
www.b12.io,,FL,Government Services,,,0,yes,10000.00,10000.00,1ee7a529-1998-4e64-9175-c088237dbe74
Making Cosmetics,,FL|TN,Other,,,2,yes,9763.15,9763.15,56fd2ba4-d81e-4710-a721-602f7aa6f508|85c1cee3-1401-4b34-b0cb-2c19d532e255
Bonita Pharmaceuticals,,FL,General Merchandise,,,1,yes,9750.36,9750.36,c66104e0-7484-42f2-a5aa-40c979e280a0
"Thomas Investment Property, LLC",,TN,Office,,YES,1,yes,9703.75,9703.75,7098d77d-02c3-4c88-a6df-7571c4f6b774
"Medds, Inc",,FL|TN,Other,,YES,2,yes,9630.86,9630.86,2a0d26a6-adcd-4d7d-a7f6-30c7e7ad5bee|5de851f1-e337-47d5-adbf-3593aad5ae61
Shell,,FL|TN|TX,Fuel and Gas,,,0,yes,9215.47,9215.47,7c695445-70c6-43bf-8e82-8e67bc4ca5db|1ab06500-4b11-40e1-bf0d-b1908fa8ccad|6b5b486f-568f-4991-b27a-a9e98d6ab87d
TXU Energy,,FL,Utilities,,,1,yes,9188.03,9188.03,6688ca87-831f-46aa-bc2b-03c718c2ad22
QDOBA Mexican Eats,,TN,Restaurants,,,0,yes,8944.11,8944.11,76989dfb-f69a-4495-bd88-2acf9e9c276e
Pura Vida Miami,,FL,Restaurants,,,0,yes,8566.86,8566.86,4f5b6a96-5cc6-4da8-a61b-e7d1dae7da2e
The Webstaurant Store,,FL,General Merchandise,,,1,yes,8381.01,8381.01,65060922-ab04-4d38-ba1a-6a7f53a93bd5
Stratus Building Solutions of Tampa,"Martinez Enterprises, LLC",FL,Office supplies and cleaning,LLC_S_CORPORATION,YES,1,yes,8103.38,8103.38,e7535305-4938-4d3a-8782-89723b147241
Alibaba,,TN|TX,General Merchandise,,,1,yes,7779.50,7779.50,12c73745-9a67-45b8-8ad5-bf16a75590c9|d52b1fd4-b7b1-4231-9d71-4cf4de7ec022
KT Advisory Services,,FL|TN,Taxes and tax preparation,,YES,2,yes,7748.50,7748.50,2d54cf85-9d3a-4599-8369-0bf49275ae7b|9e928174-985c-4ac6-9b41-8e1e175d3b85
Southwest Airlines,,FL|TN|TX,Airlines,,,0,yes,7497.36,7497.36,c680a01f-aa9a-4132-bcfd-3382641a7ffe|64cbc618-8661-41f9-8228-ed00a775a8bf|2f7dffb0-f7f0-4719-9e1d-369418a63a0d
IPrint Technologies - AutoPay,,TN,General Merchandise,,YES,1,yes,7446.53,7446.53,3e47deea-87d0-492e-83f9-41f03b8508d1
