phrase,qb_acctnum,gl_account,confidence,examples
lichamp,135,Inventory Asset:Lab Supplies Inventory,1,3
66ft,135,Inventory Asset:Lab Supplies Inventory,1,3
csa,135,Inventory Asset:Lab Supplies Inventory,1,3
lichamp electrical,135,Inventory Asset:Lab Supplies Inventory,1,3
waterproof 66ft,135,Inventory Asset:Lab Supplies Inventory,1,3
66ft industrial,135,Inventory Asset:Lab Supplies Inventory,1,3
industrial grade,135,Inventory Asset:Lab Supplies Inventory,1,3
grade csa,135,Inventory Asset:Lab Supplies Inventory,1,3
csa listed,135,Inventory Asset:Lab Supplies Inventory,1,3
listed high,135,Inventory Asset:Lab Supplies Inventory,1,3
temp electrical,135,Inventory Asset:Lab Supplies Inventory,1,3
tape electric,135,Inventory Asset:Lab Supplies Inventory,1,3
electric super,135,Inventory Asset:Lab Supplies Inventory,1,3
super vinyl,135,Inventory Asset:Lab Supplies Inventory,1,3
jar,133,Inventory Asset:Compound Ingredient Inventory,1,3
blend,133,Inventory Asset:Compound Ingredient Inventory,0.67,3
vaseline,133,Inventory Asset:Compound Ingredient Inventory,1,3
provides,133,Inventory Asset:Compound Ingredient Inventory,1,3
recommended,133,Inventory Asset:Compound Ingredient Inventory,1,3
locks,133,Inventory Asset:Compound Ingredient Inventory,1,3
vaseline petroleum,133,Inventory Asset:Compound Ingredient Inventory,1,3
jelly original,133,Inventory Asset:Compound Ingredient Inventory,1,3
original provides,133,Inventory Asset:Compound Ingredient Inventory,1,3
provides dry,133,Inventory Asset:Compound Ingredient Inventory,1,3
skin relief,133,Inventory Asset:Compound Ingredient Inventory,1,3
relief protects,133,Inventory Asset:Compound Ingredient Inventory,1,3
protects minor,133,Inventory Asset:Compound Ingredient Inventory,1,3
cuts dermatologist,133,Inventory Asset:Compound Ingredient Inventory,1,3
dermatologist recommended,133,Inventory Asset:Compound Ingredient Inventory,1,3
recommended locks,133,Inventory Asset:Compound Ingredient Inventory,1,3
locks moisture,133,Inventory Asset:Compound Ingredient Inventory,1,3
scrub,214,General & Administrative -:Office Expense,1,3
phthalates,133,Inventory Asset:Compound Ingredient Inventory,1,3
lightweight,133,Inventory Asset:Compound Ingredient Inventory,0.67,3
gentle baby,133,Inventory Asset:Compound Ingredient Inventory,1,3
baby skin,133,Inventory Asset:Compound Ingredient Inventory,1,3
fragrance paraben,133,Inventory Asset:Compound Ingredient Inventory,1,3
paraben dye,133,Inventory Asset:Compound Ingredient Inventory,1,3
dye phthalates,133,Inventory Asset:Compound Ingredient Inventory,1,3
vary includes,214,General & Administrative -:Office Expense,0.67,3
recyclable,135,Inventory Asset:Lab Supplies Inventory,0.67,3
included,134,Inventory Asset:Compound Packaging Inventory,0.67,3
wholesale,134,Inventory Asset:Compound Packaging Inventory,0.67,3
supplies sales,258,Sales & Marketing -:Sales & Marketing - Other,1,3
months,214,General & Administrative -:Office Expense,0.67,3
planner,215,General & Administrative -:Office Supplies,0.67,3
gx420t,205,General & Administrative -:Computer Supplies & Equipment,0.67,3
gk430t,205,General & Administrative -:Computer Supplies & Equipment,0.67,3
gx430t gk430t,205,General & Administrative -:Computer Supplies & Equipment,0.67,3
thermal label,205,General & Administrative -:Computer Supplies & Equipment,0.67,3
heels calluses,133,Inventory Asset:Compound Ingredient Inventory,1,3
briotech,133,Inventory Asset:Compound Ingredient Inventory,1,3
topical,133,Inventory Asset:Compound Ingredient Inventory,1,3
hypochlorous,133,Inventory Asset:Compound Ingredient Inventory,1,3
hocl,133,Inventory Asset:Compound Ingredient Inventory,1,3
against,133,Inventory Asset:Compound Ingredient Inventory,1,3
irritation,133,Inventory Asset:Compound Ingredient Inventory,1,3
calm,133,Inventory Asset:Compound Ingredient Inventory,1,3
redness,133,Inventory Asset:Compound Ingredient Inventory,1,3
scalp,133,Inventory Asset:Compound Ingredient Inventory,1,3
briotech topical,133,Inventory Asset:Compound Ingredient Inventory,1,3
topical skin,133,Inventory Asset:Compound Ingredient Inventory,1,3
skin spray,133,Inventory Asset:Compound Ingredient Inventory,1,3
spray hypochlorous,133,Inventory Asset:Compound Ingredient Inventory,1,3
hypochlorous acid,133,Inventory Asset:Compound Ingredient Inventory,1,3
acid spray,133,Inventory Asset:Compound Ingredient Inventory,1,3
spray sensitive,133,Inventory Asset:Compound Ingredient Inventory,1,3
skin hocl,133,Inventory Asset:Compound Ingredient Inventory,1,3
hocl facial,133,Inventory Asset:Compound Ingredient Inventory,1,3
facial mist,133,Inventory Asset:Compound Ingredient Inventory,1,3
mist full,133,Inventory Asset:Compound Ingredient Inventory,1,3
full body,133,Inventory Asset:Compound Ingredient Inventory,1,3
body support,133,Inventory Asset:Compound Ingredient Inventory,1,3
support against,133,Inventory Asset:Compound Ingredient Inventory,1,3
against irritation,133,Inventory Asset:Compound Ingredient Inventory,1,3
irritation calm,133,Inventory Asset:Compound Ingredient Inventory,1,3
calm redness,133,Inventory Asset:Compound Ingredient Inventory,1,3
redness soothe,133,Inventory Asset:Compound Ingredient Inventory,1,3
soothe foot,133,Inventory Asset:Compound Ingredient Inventory,1,3
foot scalp,133,Inventory Asset:Compound Ingredient Inventory,1,3
purchase,214,General & Administrative -:Office Expense,0.67,3
oven,169,Cost of Goods Sold:Lab Supplies,0.67,3
lcd,169,Cost of Goods Sold:Lab Supplies,1,3
face mask,133,Inventory Asset:Compound Ingredient Inventory,0.67,3
lunch,214,General & Administrative -:Office Expense,0.67,3
file organizer,214,General & Administrative -:Office Expense,1,3
pure,133,Inventory Asset:Compound Ingredient Inventory,1,3
natural,133,Inventory Asset:Compound Ingredient Inventory,1,3
pressed,133,Inventory Asset:Compound Ingredient Inventory,1,3
unrefined,133,Inventory Asset:Compound Ingredient Inventory,1,3
oil cold,133,Inventory Asset:Compound Ingredient Inventory,1,3
cold pressed,133,Inventory Asset:Compound Ingredient Inventory,1,3
pressed unrefined,133,Inventory Asset:Compound Ingredient Inventory,1,3
microwave,214,General & Administrative -:Office Expense,1,3
microwave safe,214,General & Administrative -:Office Expense,1,3
bowl commercial,169,Cost of Goods Sold:Lab Supplies,0.67,3
commercial mixing,169,Cost of Goods Sold:Lab Supplies,0.67,3
bowl hobart,169,Cost of Goods Sold:Lab Supplies,0.67,3
office kitchen,213,General & Administrative -:Non-Capital Lab Equipment,0.67,3
fill,214,General & Administrative -:Office Expense,0.67,3
seal stand,214,General & Administrative -:Office Expense,0.67,3
stand fill,214,General & Administrative -:Office Expense,0.67,3
fill base,214,General & Administrative -:Office Expense,0.67,3
reynolds,169,Cost of Goods Sold:Lab Supplies,1,3
easily,169,Cost of Goods Sold:Lab Supplies,1,3
moldable,169,Cost of Goods Sold:Lab Supplies,1,3
around,169,Cost of Goods Sold:Lab Supplies,1,3
tight,169,Cost of Goods Sold:Lab Supplies,1,3
covering,169,Cost of Goods Sold:Lab Supplies,1,3
storing,169,Cost of Goods Sold:Lab Supplies,1,3
leftovers,169,Cost of Goods Sold:Lab Supplies,1,3
reynolds wrap,169,Cost of Goods Sold:Lab Supplies,1,3
wrap aluminum,169,Cost of Goods Sold:Lab Supplies,1,3
foil aluminum,169,Cost of Goods Sold:Lab Supplies,1,3
foil roll,169,Cost of Goods Sold:Lab Supplies,1,3
roll double,169,Cost of Goods Sold:Lab Supplies,1,3
double easily,169,Cost of Goods Sold:Lab Supplies,1,3
easily moldable,169,Cost of Goods Sold:Lab Supplies,1,3
moldable around,169,Cost of Goods Sold:Lab Supplies,1,3
around food,169,Cost of Goods Sold:Lab Supplies,1,3
food tight,169,Cost of Goods Sold:Lab Supplies,1,3
tight seal,169,Cost of Goods Sold:Lab Supplies,1,3
seal great,169,Cost of Goods Sold:Lab Supplies,1,3
great covering,169,Cost of Goods Sold:Lab Supplies,1,3
covering dishes,169,Cost of Goods Sold:Lab Supplies,1,3
dishes storing,169,Cost of Goods Sold:Lab Supplies,1,3
storing leftovers,169,Cost of Goods Sold:Lab Supplies,1,3
leftovers rolls,169,Cost of Goods Sold:Lab Supplies,1,3
mk200,205,General & Administrative -:Computer Supplies & Equipment,1,3
play,205,General & Administrative -:Computer Supplies & Equipment,0.67,3
connection,205,General & Administrative -:Computer Supplies & Equipment,0.67,3
connection includes,205,General & Administrative -:Computer Supplies & Equipment,0.67,3
soothing,133,Inventory Asset:Compound Ingredient Inventory,1,3
soothing relief,133,Inventory Asset:Compound Ingredient Inventory,1,3
riser,205,General & Administrative -:Computer Supplies & Equipment,0.67,3
computer monitor,205,General & Administrative -:Computer Supplies & Equipment,0.67,3
credit,215,General & Administrative -:Office Supplies,0.67,3
clips,176,Cost of Goods Sold:Research & Development Costs,0.67,3
home use,169,Cost of Goods Sold:Lab Supplies,0.67,3
nuanchu lip,134,Inventory Asset:Compound Packaging Inventory,1,3
tubes bulk,134,Inventory Asset:Compound Packaging Inventory,1,3
bulk empty,134,Inventory Asset:Compound Packaging Inventory,1,3
containers tubes,134,Inventory Asset:Compound Packaging Inventory,1,3
tubes refillable,134,Inventory Asset:Compound Packaging Inventory,1,3
balm wand,134,Inventory Asset:Compound Packaging Inventory,1,3
inserts containers,134,Inventory Asset:Compound Packaging Inventory,1,3
bottles diy,134,Inventory Asset:Compound Packaging Inventory,1,3
makeup travel,134,Inventory Asset:Compound Packaging Inventory,1,3
ultra soft,215,General & Administrative -:Office Supplies,0.67,3
facial tissues,215,General & Administrative -:Office Supplies,0.67,3
tissues box,215,General & Administrative -:Office Supplies,0.67,3
hand sanitizer,214,General & Administrative -:Office Expense,1,3
formulated,133,Inventory Asset:Compound Ingredient Inventory,1,3
common,133,Inventory Asset:Compound Ingredient Inventory,1,3
irritants,133,Inventory Asset:Compound Ingredient Inventory,1,3
those,133,Inventory Asset:Compound Ingredient Inventory,1,3
dispenser moisturizer,133,Inventory Asset:Compound Ingredient Inventory,1,3
moisturizer formulated,133,Inventory Asset:Compound Ingredient Inventory,1,3
formulated without,133,Inventory Asset:Compound Ingredient Inventory,1,3
without common,133,Inventory Asset:Compound Ingredient Inventory,1,3
common irritants,133,Inventory Asset:Compound Ingredient Inventory,1,3
irritants those,133,Inventory Asset:Compound Ingredient Inventory,1,3
those sensitive,133,Inventory Asset:Compound Ingredient Inventory,1,3
skin includes,133,Inventory Asset:Compound Ingredient Inventory,1,3
scissors,215,General & Administrative -:Office Supplies,1,3
blades,169,Cost of Goods Sold:Lab Supplies,0.67,3
map,215,General & Administrative -:Office Supplies,1,3
push pins,215,General & Administrative -:Office Supplies,1,3
cork board,215,General & Administrative -:Office Supplies,1,3
lemon,214,General & Administrative -:Office Expense,1,3
41x1115,215,General & Administrative -:Office Supplies,0.67,3
fuser,215,General & Administrative -:Office Supplies,0.67,3
41x1115 fuser,215,General & Administrative -:Office Supplies,0.67,3
multiple devices,205,General & Administrative -:Computer Supplies & Equipment,0.67,3
off,215,General & Administrative -:Office Supplies,0.67,3
garbage disposal,215,General & Administrative -:Office Supplies,1,3
outlet,205,General & Administrative -:Computer Supplies & Equipment,0.67,3
waste,215,General & Administrative -:Office Supplies,0.67,3
thermostat,214,General & Administrative -:Office Expense,1,3
gen,205,General & Administrative -:Computer Supplies & Equipment,1,3
install,205,General & Administrative -:Computer Supplies & Equipment,0.67,3
easy install,205,General & Administrative -:Computer Supplies & Equipment,0.67,3
duty metal,205,General & Administrative -:Computer Supplies & Equipment,0.67,3
vtopmart,214,General & Administrative -:Office Expense,1,3
undersink,214,General & Administrative -:Office Expense,1,3
vtopmart stackable,214,General & Administrative -:Office Expense,1,3
storage drawers,214,General & Administrative -:Office Expense,1,3
drawers acrylic,214,General & Administrative -:Office Expense,1,3
acrylic bathroom,214,General & Administrative -:Office Expense,1,3
bathroom makeup,214,General & Administrative -:Office Expense,1,3
makeup organizer,214,General & Administrative -:Office Expense,1,3
bins vanity,214,General & Administrative -:Office Expense,1,3
vanity undersink,214,General & Administrative -:Office Expense,1,3
undersink kitchen,214,General & Administrative -:Office Expense,1,3
kitchen cabinets,214,General & Administrative -:Office Expense,1,3
cabinets pantry,214,General & Administrative -:Office Expense,1,3
pantry home,214,General & Administrative -:Office Expense,1,3
tear,214,General & Administrative -:Office Expense,0.67,3
mount paper,214,General & Administrative -:Office Expense,0.67,3
samsung,205,General & Administrative -:Computer Supplies & Equipment,0.67,3
tablet stand,205,General & Administrative -:Computer Supplies & Equipment,1,3
mini ipad,205,General & Administrative -:Computer Supplies & Equipment,1,3
transparent,169,Cost of Goods Sold:Lab Supplies,1,3
measuring cylinder,169,Cost of Goods Sold:Lab Supplies,1,3
alcohol,214,General & Administrative -:Office Expense,0.67,3
cruise,214,General & Administrative -:Office Expense,0.67,3
magnetic hooks,214,General & Administrative -:Office Expense,0.67,3
hook cruise,214,General & Administrative -:Office Expense,0.67,3
strong magnets,214,General & Administrative -:Office Expense,0.67,3
tecknet,205,General & Administrative -:Computer Supplies & Equipment,0.67,3
bt5,205,General & Administrative -:Computer Supplies & Equipment,0.67,3
buttons,205,General & Administrative -:Computer Supplies & Equipment,0.67,3
tecknet wireless,205,General & Administrative -:Computer Supplies & Equipment,0.67,3
mouse bt5,205,General & Administrative -:Computer Supplies & Equipment,0.67,3
bt5 silent,205,General & Administrative -:Computer Supplies & Equipment,0.67,3
silent dpi,205,General & Administrative -:Computer Supplies & Equipment,0.67,3
dpi computer,205,General & Administrative -:Computer Supplies & Equipment,0.67,3
computer usb,205,General & Administrative -:Computer Supplies & Equipment,0.67,3
usb bluetooth,205,General & Administrative -:Computer Supplies & Equipment,0.67,3
bluetooth mouse,205,General & Administrative -:Computer Supplies & Equipment,0.67,3
mouse buttons,205,General & Administrative -:Computer Supplies & Equipment,0.67,3
buttons wide,205,General & Administrative -:Computer Supplies & Equipment,0.67,3
vibration,169,Cost of Goods Sold:Lab Supplies,0.67,3
anti vibration,169,Cost of Goods Sold:Lab Supplies,0.67,3
refund,258,Sales & Marketing -:Sales & Marketing - Other,0.67,3
basket,215,General & Administrative -:Office Supplies,0.67,3
helps,333,1220.05 Inventory Asset:Commercial Rx Inventory,0.67,3
odor,214,General & Administrative -:Office Expense,0.67,3
boat includes,135,Inventory Asset:Lab Supplies Inventory,1,3
chromebook,205,General & Administrative -:Computer Supplies & Equipment,0.67,3
type,205,General & Administrative -:Computer Supplies & Equipment,0.67,3
fast charging,205,General & Administrative -:Computer Supplies & Equipment,0.67,3
power cord,205,General & Administrative -:Computer Supplies & Equipment,1,3
national,1150040007,Sales & Marketing -:Promotions,0.67,3
jolabear,169,Cost of Goods Sold:Lab Supplies,1,3
graduations,169,Cost of Goods Sold:Lab Supplies,1,3
jolabear durable,169,Cost of Goods Sold:Lab Supplies,1,3
durable glass,169,Cost of Goods Sold:Lab Supplies,1,3
beakers laboratory,169,Cost of Goods Sold:Lab Supplies,1,3
laboratory beaker,169,Cost of Goods Sold:Lab Supplies,1,3
printed graduations,169,Cost of Goods Sold:Lab Supplies,1,3
graduations borosilicate,169,Cost of Goods Sold:Lab Supplies,1,3
borosilicate low,169,Cost of Goods Sold:Lab Supplies,1,3
form design,169,Cost of Goods Sold:Lab Supplies,1,3
scent includes,214,General & Administrative -:Office Expense,1,3
big,169,Cost of Goods Sold:Lab Supplies,0.67,3
pimples,133,Inventory Asset:Compound Ingredient Inventory,1,3
greaseless,133,Inventory Asset:Compound Ingredient Inventory,1,3
vanishing,133,Inventory Asset:Compound Ingredient Inventory,1,3
rugby acne,133,Inventory Asset:Compound Ingredient Inventory,1,3
acne medication,133,Inventory Asset:Compound Ingredient Inventory,1,3
medication benzoyl,133,Inventory Asset:Compound Ingredient Inventory,1,3
peroxide gel,133,Inventory Asset:Compound Ingredient Inventory,1,3
gel usp,133,Inventory Asset:Compound Ingredient Inventory,1,3
usp acne,133,Inventory Asset:Compound Ingredient Inventory,1,3
acne pimples,133,Inventory Asset:Compound Ingredient Inventory,1,3
pimples greaseless,133,Inventory Asset:Compound Ingredient Inventory,1,3
greaseless vanishing,133,Inventory Asset:Compound Ingredient Inventory,1,3
vanishing formula,133,Inventory Asset:Compound Ingredient Inventory,1,3
soap includes,133,Inventory Asset:Compound Ingredient Inventory,1,3
label sticker,169,Cost of Goods Sold:Lab Supplies,0.67,3
callus,133,Inventory Asset:Compound Ingredient Inventory,0.67,3
thick cracked,133,Inventory Asset:Compound Ingredient Inventory,0.67,3
cracked rough,133,Inventory Asset:Compound Ingredient Inventory,0.67,3
rough dead,133,Inventory Asset:Compound Ingredient Inventory,0.67,3
dead dry,133,Inventory Asset:Compound Ingredient Inventory,0.67,3
feet elbows,133,Inventory Asset:Compound Ingredient Inventory,0.67,3
transfer includes,135,Inventory Asset:Lab Supplies Inventory,1,3
school supplies,215,General & Administrative -:Office Supplies,0.67,3
coding labels,169,Cost of Goods Sold:Lab Supplies,0.67,3
office includes,205,General & Administrative -:Computer Supplies & Equipment,0.67,3
flash,254,6200.70 General & Administrative -:Non-Capital Furniture,0.67,3
stool,214,General & Administrative -:Office Expense,0.67,3
fine tip,215,General & Administrative -:Office Supplies,0.67,3
fan,106,6200.80 General & Administrative -:Office Expense,0.67,3
settings,106,6200.80 General & Administrative -:Office Expense,0.67,3
conference room,214,General & Administrative -:Office Expense,0.67,3
clamp,214,General & Administrative -:Office Expense,0.67,3
extension cord,205,General & Administrative -:Computer Supplies & Equipment,0.67,3
chair,254,6200.70 General & Administrative -:Non-Capital Furniture,0.67,3
task,214,General & Administrative -:Office Expense,0.67,3
tables,213,General & Administrative -:Non-Capital Lab Equipment,0.67,3
filterbuy,106,6200.80 General & Administrative -:Office Expense,0.67,3
optimal,106,6200.80 General & Administrative -:Office Expense,0.67,3
smoke,106,6200.80 General & Administrative -:Office Expense,0.67,3
defense,106,6200.80 General & Administrative -:Office Expense,0.67,3
electrostatic,106,6200.80 General & Administrative -:Office Expense,0.67,3
merv optimal,106,6200.80 General & Administrative -:Office Expense,0.67,3
optimal smoke,106,6200.80 General & Administrative -:Office Expense,0.67,3
smoke allergy,106,6200.80 General & Administrative -:Office Expense,0.67,3
allergy defense,106,6200.80 General & Administrative -:Office Expense,0.67,3
defense electrostatic,106,6200.80 General & Administrative -:Office Expense,0.67,3
electrostatic pleated,106,6200.80 General & Administrative -:Office Expense,0.67,3
pleated hvac,106,6200.80 General & Administrative -:Office Expense,0.67,3
hvac furnace,106,6200.80 General & Administrative -:Office Expense,0.67,3
furnace filters,106,6200.80 General & Administrative -:Office Expense,0.67,3
filters replacement,106,6200.80 General & Administrative -:Office Expense,0.67,3
replacement made,106,6200.80 General & Administrative -:Office Expense,0.67,3
usa actual,106,6200.80 General & Administrative -:Office Expense,0.67,3
rpm,169,Cost of Goods Sold:Lab Supplies,0.67,3
actuation,169,Cost of Goods Sold:Lab Supplies,0.67,3
175w,169,Cost of Goods Sold:Lab Supplies,0.67,3
phase,169,Cost of Goods Sold:Lab Supplies,0.67,3
commercial wsg60,169,Cost of Goods Sold:Lab Supplies,0.67,3
wsg60 cup,169,Cost of Goods Sold:Lab Supplies,0.67,3
cup spice,169,Cost of Goods Sold:Lab Supplies,0.67,3
grinder motor,169,Cost of Goods Sold:Lab Supplies,0.67,3
motor rpm,169,Cost of Goods Sold:Lab Supplies,0.67,3
rpm pulse,169,Cost of Goods Sold:Lab Supplies,0.67,3
pulse actuation,169,Cost of Goods Sold:Lab Supplies,0.67,3
actuation includes,169,Cost of Goods Sold:Lab Supplies,0.67,3
includes grinding,169,Cost of Goods Sold:Lab Supplies,0.67,3
grinding bowls,169,Cost of Goods Sold:Lab Supplies,0.67,3
bowls 120v,169,Cost of Goods Sold:Lab Supplies,0.67,3
120v 175w,169,Cost of Goods Sold:Lab Supplies,0.67,3
175w phase,169,Cost of Goods Sold:Lab Supplies,0.67,3
phase plug,169,Cost of Goods Sold:Lab Supplies,0.67,3
android,205,General & Administrative -:Computer Supplies & Equipment,0.67,3
receiver,205,General & Administrative -:Computer Supplies & Equipment,0.67,3
4ghz usb,205,General & Administrative -:Computer Supplies & Equipment,0.67,3
platinum,214,General & Administrative -:Office Expense,0.67,3
stretchy,215,General & Administrative -:Office Supplies,1,3
bands office,215,General & Administrative -:Office Supplies,1,3
supplies stretchy,215,General & Administrative -:Office Supplies,1,3
stretchy bands,215,General & Administrative -:Office Supplies,1,3
extended,214,General & Administrative -:Office Expense,1,3
brush plunger,214,General & Administrative -:Office Expense,1,3
spiral,169,Cost of Goods Sold:Lab Supplies,0.67,3
polymer,205,General & Administrative -:Computer Supplies & Equipment,1,3
mousepad,205,General & Administrative -:Computer Supplies & Equipment,1,3
games,205,General & Administrative -:Computer Supplies & Equipment,1,3
seihoo mouse,205,General & Administrative -:Computer Supplies & Equipment,1,3
pad resin,205,General & Administrative -:Computer Supplies & Equipment,1,3
hard surface,205,General & Administrative -:Computer Supplies & Equipment,1,3
surface mouse,205,General & Administrative -:Computer Supplies & Equipment,1,3
mouse mat,205,General & Administrative -:Computer Supplies & Equipment,1,3
mat polymer,205,General & Administrative -:Computer Supplies & Equipment,1,3
polymer silicone,205,General & Administrative -:Computer Supplies & Equipment,1,3
silicone bottom,205,General & Administrative -:Computer Supplies & Equipment,1,3
bottom gaming,205,General & Administrative -:Computer Supplies & Equipment,1,3
gaming mousepad,205,General & Administrative -:Computer Supplies & Equipment,1,3
mousepad smell,205,General & Administrative -:Computer Supplies & Equipment,1,3
smell waterproof,205,General & Administrative -:Computer Supplies & Equipment,1,3
waterproof games,205,General & Administrative -:Computer Supplies & Equipment,1,3
games office,205,General & Administrative -:Computer Supplies & Equipment,1,3
precision,169,Cost of Goods Sold:Lab Supplies,0.67,3
providence,215,General & Administrative -:Office Supplies,1,3
personalized,215,General & Administrative -:Office Supplies,1,3
tag,215,General & Administrative -:Office Supplies,1,3
text,215,General & Administrative -:Office Supplies,1,3
providence engraving,215,General & Administrative -:Office Supplies,1,3
engraving badges,215,General & Administrative -:Office Supplies,1,3
badges durable,215,General & Administrative -:Office Supplies,1,3
durable personalized,215,General & Administrative -:Office Supplies,1,3
personalized acrylic,215,General & Administrative -:Office Supplies,1,3
acrylic name,215,General & Administrative -:Office Supplies,1,3
name tag,215,General & Administrative -:Office Supplies,1,3
tag lines,215,General & Administrative -:Office Supplies,1,3
lines custom,215,General & Administrative -:Office Supplies,1,3
custom text,215,General & Administrative -:Office Supplies,1,3
text pin,215,General & Administrative -:Office Supplies,1,3
pin backing,215,General & Administrative -:Office Supplies,1,3
backing includes,215,General & Administrative -:Office Supplies,1,3
swiffer wet,214,General & Administrative -:Office Expense,1,3
absorbent,214,General & Administrative -:Office Expense,0.67,3
powerful,214,General & Administrative -:Office Expense,1,3
sno,169,Cost of Goods Sold:Lab Supplies,0.67,3
shaved,169,Cost of Goods Sold:Lab Supplies,0.67,3
kid,169,Cost of Goods Sold:Lab Supplies,0.67,3
root,169,Cost of Goods Sold:Lab Supplies,0.67,3
beer,169,Cost of Goods Sold:Lab Supplies,0.67,3
sno cone,169,Cost of Goods Sold:Lab Supplies,0.67,3
cone straw,169,Cost of Goods Sold:Lab Supplies,0.67,3
straw spoons,169,Cost of Goods Sold:Lab Supplies,0.67,3
spoons bright,169,Cost of Goods Sold:Lab Supplies,0.67,3
colors perfect,169,Cost of Goods Sold:Lab Supplies,0.67,3
perfect milkshakes,169,Cost of Goods Sold:Lab Supplies,0.67,3
milkshakes shaved,169,Cost of Goods Sold:Lab Supplies,0.67,3
shaved ice,169,Cost of Goods Sold:Lab Supplies,0.67,3
ice kid,169,Cost of Goods Sold:Lab Supplies,0.67,3
kid parties,169,Cost of Goods Sold:Lab Supplies,0.67,3
parties root,169,Cost of Goods Sold:Lab Supplies,0.67,3
root beer,169,Cost of Goods Sold:Lab Supplies,0.67,3
beer floats,169,Cost of Goods Sold:Lab Supplies,0.67,3
floats more,169,Cost of Goods Sold:Lab Supplies,0.67,3
modes,214,General & Administrative -:Office Expense,1,3
wheels lbs,212,General & Administrative -:Non-Capital Furniture,0.67,3
lbs capacity,212,General & Administrative -:Non-Capital Furniture,0.67,3
shelf organizer,212,General & Administrative -:Non-Capital Furniture,1,3
kitchen garage,212,General & Administrative -:Non-Capital Furniture,0.67,3
lights,214,General & Administrative -:Office Expense,0.67,3
arm,214,General & Administrative -:Office Expense,0.67,3
weights,213,General & Administrative -:Non-Capital Lab Equipment,0.67,3
ghz,205,General & Administrative -:Computer Supplies & Equipment,1,3
multimedia,205,General & Administrative -:Computer Supplies & Equipment,1,3
logitech mk270,205,General & Administrative -:Computer Supplies & Equipment,1,3
combo windows,205,General & Administrative -:Computer Supplies & Equipment,1,3
windows ghz,205,General & Administrative -:Computer Supplies & Equipment,1,3
compact mouse,205,General & Administrative -:Computer Supplies & Equipment,1,3
magnetic dry,215,General & Administrative -:Office Supplies,0.67,3
utility knife,169,Cost of Goods Sold:Lab Supplies,0.67,3
flat storage,214,General & Administrative -:Office Expense,1,3
organization red,214,General & Administrative -:Office Expense,1,3
wood paper,215,General & Administrative -:Office Supplies,0.67,3
paper metal,215,General & Administrative -:Office Supplies,0.67,3
metal more,215,General & Administrative -:Office Supplies,0.67,3
cordless,205,General & Administrative -:Computer Supplies & Equipment,0.67,3
4xl zebra,134,Inventory Asset:Compound Packaging Inventory,1,3
reference,207,General & Administrative -:Education,1,3
guide,207,General & Administrative -:Education,0.67,3
grant,259,General & Administrative -:Software Support Fees,1,3
powell,259,General & Administrative -:Software Support Fees,1,3
grant powell,259,General & Administrative -:Software Support Fees,1,3
griffin low,169,Cost of Goods Sold:Lab Supplies,1,3
beaker heavy,169,Cost of Goods Sold:Lab Supplies,1,3
duty lab,169,Cost of Goods Sold:Lab Supplies,1,3
printed high,169,Cost of Goods Sold:Lab Supplies,1,3
borosilicate class,169,Cost of Goods Sold:Lab Supplies,1,3
class measuring,169,Cost of Goods Sold:Lab Supplies,1,3
bulk graduation,169,Cost of Goods Sold:Lab Supplies,1,3
graduation laboratories,169,Cost of Goods Sold:Lab Supplies,1,3
sherr,135,Inventory Asset:Lab Supplies Inventory,1,3
capsule,135,Inventory Asset:Lab Supplies Inventory,1,3
sherr weigh,135,Inventory Asset:Lab Supplies Inventory,1,3
boats bulk,135,Inventory Asset:Lab Supplies Inventory,1,3
bulk anti,135,Inventory Asset:Lab Supplies Inventory,1,3
square easy,135,Inventory Asset:Lab Supplies Inventory,1,3
easy pour,135,Inventory Asset:Lab Supplies Inventory,1,3
pour boats,135,Inventory Asset:Lab Supplies Inventory,1,3
boats weighing,135,Inventory Asset:Lab Supplies Inventory,1,3
trays capsule,135,Inventory Asset:Lab Supplies Inventory,1,3
capsule filling,135,Inventory Asset:Lab Supplies Inventory,1,3
filling lab,135,Inventory Asset:Lab Supplies Inventory,1,3
liquid food,135,Inventory Asset:Lab Supplies Inventory,1,3
qty,135,Inventory Asset:Lab Supplies Inventory,0.67,3
length,169,Cost of Goods Sold:Lab Supplies,0.67,3
pipettor,135,Inventory Asset:Lab Supplies Inventory,1,3
onilab pipette,135,Inventory Asset:Lab Supplies Inventory,1,3
laboratory universal,135,Inventory Asset:Lab Supplies Inventory,1,3
universal liquid,135,Inventory Asset:Lab Supplies Inventory,1,3
liquid pipettor,135,Inventory Asset:Lab Supplies Inventory,1,3
pipettor tips,135,Inventory Asset:Lab Supplies Inventory,1,3
tips polypropylene,135,Inventory Asset:Lab Supplies Inventory,1,3
polypropylene autoclavable,135,Inventory Asset:Lab Supplies Inventory,1,3
bands bands,215,General & Administrative -:Office Supplies,1,3
base polypropylene,169,Cost of Goods Sold:Lab Supplies,1,3
quality autoclavable,169,Cost of Goods Sold:Lab Supplies,1,3
emulator,176,Cost of Goods Sold:Research & Development Costs,1,3
headless,176,Cost of Goods Sold:Research & Development Costs,1,3
1080p,205,General & Administrative -:Computer Supplies & Equipment,0.67,3
calendar,215,General & Administrative -:Office Supplies,1,3
seville,213,General & Administrative -:Non-Capital Lab Equipment,1,3
